[Thu Jun 02 00:31:27 2016]	[client: 112.198.101.83] [file: core.class.php] - [Device ID: 78B3B4B6-CAC8-46D9-A995-DA3719F02734, Platform: ios, PUSH ID: mMjcJorVTYU:APA91bE0En_flIfoRAbygLZ5g0edQuZltnhBTlIU57vFEtcplpD42uYIOxBcbXGa_qo41AaxWdQE589R965vLjrAn3F6C3bdb4yrhidA7DYR-LfpFvWWwGQx5HcSjPEhqnHdIzT1XvKA]	 Status: [Existing]
[Thu Jun 02 17:06:00 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 17:07:33 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dwwQqrp12bM:APA91bF9YRT_-pDqmDFW0wyXJdutehOFrirPGQrzuYXP63SAOx2Yjj2KN1HYv_u8yqSV0ANV3x8ABFoDwMTw30WUgdUeJSKXXzv3Od1rbqCZOZu2DM203sb7aKAt_t1LwRZW757MYwMy]	 Status: [Existing]
[Thu Jun 02 17:09:45 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:12:50 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:14:56 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:18:11 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:19:20 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:21:03 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:21:29 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:22:48 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:26:58 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:32:35 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fgy8aXqfzZc:APA91bF3yOks4UwxzHjXNt6U7_SwUc6wtbfrQl4I4-OeGlsOJQo3PfPJkCYOEg4f41NXgqaL9n6IXOEXrIGFlD_-3iBvYofBomuz4IBV2Mur7GFRX2uc5hj43zx02y9bC-VGZPo5A8RL]	 Status: [Existing]
[Thu Jun 02 17:50:53 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFksxEofVndz7MjoOGC4rG6TBJEpnbbR3xo4Bh5liiTgKzfZg587_SF8iaAhhudVc4_zkK0hettO-NX4wZS718je_D1hZ7dycL10UJui07qW-LCVqIwSdbgWRzUOaEJzzonbb6s]	 Status: [Existing]
[Thu Jun 02 18:11:36 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFksxEofVndz7MjoOGC4rG6TBJEpnbbR3xo4Bh5liiTgKzfZg587_SF8iaAhhudVc4_zkK0hettO-NX4wZS718je_D1hZ7dycL10UJui07qW-LCVqIwSdbgWRzUOaEJzzonbb6s]	 Status: [Existing]
[Thu Jun 02 18:20:13 2016]	[client: 112.211.115.197] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Thu Jun 02 18:23:26 2016]	[client: 121.54.44.176] [file: core.class.php] - [Device ID: 315397c77e7bd466, Platform: android, PUSH ID: czaCVv1hrZ4:APA91bF6m3Fe1Xdpctl8iVesqtGiOb2BqmuI1zy2ZwB_WBTxH-Uw6cZgQ7wcN5ZqdVfxRdLSAhK9jSQyZfPBgLm3GD8JToMgxWZzVKc08S1aWwnKWcdaNFfoKS6XNxi5Aa5-e3AK7P5F]	 Status: [Success]
[Thu Jun 02 18:25:31 2016]	[client: 121.54.44.131] [file: core.class.php] - [Device ID: 315397c77e7bd466, Platform: android, PUSH ID: czaCVv1hrZ4:APA91bF6m3Fe1Xdpctl8iVesqtGiOb2BqmuI1zy2ZwB_WBTxH-Uw6cZgQ7wcN5ZqdVfxRdLSAhK9jSQyZfPBgLm3GD8JToMgxWZzVKc08S1aWwnKWcdaNFfoKS6XNxi5Aa5-e3AK7P5F]	 Status: [Existing]
